13:40:883 | DEBUG | connect:request:999 | Request body: None
13:40:883 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'Mzq9DtdutDw3lvijSwMvxp7Ri', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:pWMzZIOdAu23NAWCT8XQ3+peuyOrHatFWuRTi5gtrlo=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:883 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/JFH/massproperties?useMassPropertiesOverrides=True
13:40:883 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: Wheel2_1
13:40:883 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: WS2_1
13:40:884 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: WS1_1
13:40:884 | DEBUG | connect:make_nonce:124 | nonce created: 22di6njWiEzLEVKLLT8vNq4a7
13:40:884 | DEBUG | connect:make_nonce:124 | nonce created: hEiRqzQjhBIRWvoaxIyZQjMiW
13:40:884 | DEBUG | connect:make_nonce:124 | nonce created: c5GcqpwPAGzkC1YsTq7vYmNHd
13:40:884 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: Wheel1_1
13:40:885 | DEBUG | connect:make_nonce:124 | nonce created: YzZ1NJSR7TyXNNv02kvuR9wx4
13:40:885 | DEBUG | connect:make_nonce:124 | nonce created: znlAKo7nx24aMdqT2aZb3rfNF
13:40:885 | DEBUG | connect:make_nonce:124 | nonce created: nu2dde7MkhmnnpORUUER1QAtX
13:40:932 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\n22di6njwiezlevkllt8vnq4a7\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/jfd/massproperties\nusemasspropertiesoverrides=true\n', signature: b'wJSuquqX6/x76rkQ92anK63MMlS2GY8taslTolMBG7A=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:wJSuquqX6/x76rkQ92anK63MMlS2GY8taslTolMBG7A=
13:40:932 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nheirqzqjhbirwvoaxiyzqjmiw\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/jfl/massproperties\nusemasspropertiesoverrides=true\n', signature: b'0xGZcmPhazM9b+jNGeDpG894MDym6v0J0pRElTTKVRc=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:0xGZcmPhazM9b+jNGeDpG894MDym6v0J0pRElTTKVRc=
13:40:932 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nc5gcqpwpagzkc1ystq7vymnhd\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/e20bf4145bc31cbbbdf75b5a/m/d6fe2a57744699262866663c/e/9ea18489ebac20de847f753e/partid/jfx/massproperties\nusemasspropertiesoverrides=true\n', signature: b'gaB6ZT7OX5pyeQBOeAWlfZXDuhSPiCgKY0tdcki1bOc=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:gaB6ZT7OX5pyeQBOeAWlfZXDuhSPiCgKY0tdcki1bOc=
